dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label
0.542905,tcp,-,FIN,10,8,534,354,31.31303,7087.7964,4568.0186,2,1,60.210888,68.109,4060.6255,106.61155,255,884094874,3410317203,255,0.118584,0.066133,0.052451,53,44,0,0,3,1,0,0,0,0,Normal,0
5e-06,unas,-,INT,2,0,200,0,200000.0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Backdoor,1
1.942323,tcp,-,FIN,16,18,1540,1644,16.989965,5947.5176,6396.4644,4,4,129.46474,120.32575,7523.2134,219.73169,255,3124039663,1340044420,255,0.017998,0.017098,0.0009,96,91,0,0,15,1,0,0,0,0,Normal,0
26.555096,tcp,-,FIN,26,28,4552,2976,1.99585,1318.617,864.6175,7,7,1062.1913,983.50226,96218.26,2763.5303,255,3136552202,990276679,255,0.000662,0.000533,0.000129,175,106,0,0,1,1,0,0,0,0,Normal,0
0.020914,tcp,-,FIN,16,18,1540,1644,1577.8905,552357.3,594051.9,4,4,1.373933,1.203118,88.412865,2.236192,255,1674593136,3828729129,255,0.000572,0.000457,0.000115,96,91,0,0,1,1,0,0,0,0,Normal,0
9e-06,udp,-,INT,2,0,104,0,111111.11,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,1,0,0,0,0,Fuzzers,1
1.44838,tcp,-,FIN,12,8,3032,716,13.118104,15355.087,3463.1797,3,2,126.939186,190.85641,6774.978,282.9553,255,1881010142,3799001987,255,0.186651,0.112376,0.074275,253,90,0,0,2,2,0,0,0,0,Fuzzers,1
0.54139,tcp,-,FIN,12,8,2018,742,35.09485,27337.04,9604.906,3,2,47.212364,70.32486,2381.917,87.216934,255,1620786583,3836672007,255,0.073794,0.049107,0.024687,168,93,0,0,1,1,0,0,0,0,Fuzzers,1
0.617236,tcp,-,FIN,12,10,1250,778,34.02264,14853.313,9085.665,3,2,55.215908,60.89967,3528.2861,109.35803,255,3824320565,3835104257,255,0.095578,0.069124,0.026454,104,78,0,0,1,1,0,0,0,0,Fuzzers,1
8e-06,udp,-,INT,2,0,104,0,125000.0,52000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,4,1,0,0,0,0,Fuzzers,1
3.411082,tcp,-,FIN,78,80,4550,72810,46.02645,10535.073,168626.84,7,33,44.29344,43.170227,2760.109,2722.9153,255,762063622,762371671,255,0.000763,0.000625,0.000138,58,910,0,0,1,1,0,0,0,0,Normal,0
9.046863,tcp,http,FIN,8,10,1052,824,1.879104,814.42596,656.13904,2,2,1292.3256,1005.1433,107611.19,2835.2473,255,4109066880,4110190714,255,0.000709,0.000569,0.00014,132,82,1,83,5,1,0,0,1,0,Normal,0
1.1e-05,udp,-,INT,2,0,168,0,90909.09,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,1,0,0,0,0,Normal,0
9e-06,udp,-,INT,2,0,104,0,111111.11,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,1,0,0,0,0,Fuzzers,1
0.034695,tcp,-,FIN,16,18,1540,1644,951.1457,332958.66,358091.94,4,4,2.454429,2.008882,145.39265,3.697788,255,2374821971,1043261752,255,0.000656,0.000538,0.000118,96,91,0,0,11,1,0,0,0,0,Normal,0
5e-06,udp,-,INT,2,0,168,0,200000.0,134400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,1,0,0,0,0,Reconnaissance,1
0.051863,tcp,-,FIN,16,18,1540,1644,636.29175,222740.69,239554.22,4,4,3.681643,3.016765,218.73058,6.394166,255,1356922021,3088578122,255,0.000695,0.000575,0.00012,96,91,0,0,1,1,0,0,0,0,Normal,0
0.454651,tcp,-,FIN,10,6,534,268,32.99234,8463.635,3941.4849,2,1,50.516777,64.4244,2636.044,93.27429,255,1731972803,113029007,255,0.195097,0.131738,0.063359,53,45,0,0,3,2,0,0,0,0,Fuzzers,1
0.019131,tcp,http,FIN,8,10,1052,824,888.61017,385134.1,310281.75,2,2,2.684429,2.071333,177.49681,3.512919,255,3734936270,1595530592,255,0.000607,0.000486,0.000121,132,82,1,83,1,1,0,0,1,0,Normal,0
1.438395,tcp,-,FIN,78,80,4550,72810,109.14943,24983.4,399890.16,7,33,18.675571,18.200607,1078.4161,1065.6566,255,3236677443,3236955155,255,0.000664,0.000538,0.000126,58,910,0,0,1,1,0,0,0,0,Normal,0
1.21215,udp,-,CON,4,4,528,304,5.774863,2613.538,1504.7643,0,0,353.66833,309.004,500.15546,436.98703,0,0,0,0,0.0,0.0,0.0,132,76,0,0,1,1,0,0,0,0,Normal,0
0.754877,tcp,ftp,FIN,12,12,632,682,30.46854,6146.697,6634.194,3,4,68.62518,59.151638,3760.6555,94.62693,255,3886039819,2768942167,255,0.148089,0.084184,0.063905,53,57,0,0,1,1,0,0,0,0,Fuzzers,1
8e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,Backdoor,1
4e-06,unas,-,INT,2,0,200,0,250000.0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,Analysis,1
8e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,6,0,0,0,0,Analysis,1
1.347022,tcp,-,FIN,10,8,564,354,12.620432,3017.0256,1841.0983,2,1,144.36623,176.82971,8531.542,262.48007,255,1618705374,2659204971,255,0.194988,0.109204,0.085784,56,44,0,0,1,1,0,0,0,0,Reconnaissance,1
0.57885,tcp,-,FIN,16,18,1540,1644,57.00959,19956.812,21463.248,4,4,38.5692,35.797688,2540.822,67.63232,255,2779133947,698557157,255,0.006965,0.006086,0.000879,96,91,0,0,10,1,0,0,0,0,Normal,0
1.482739,tcp,-,FIN,16,18,1540,1644,22.25611,7790.987,8379.088,4,4,98.77367,87.19324,6195.553,172.84306,255,3103798684,1245705873,255,0.000568,0.00045,0.000118,96,91,0,0,11,1,0,0,0,0,Normal,0
3.056254,tcp,-,FIN,10,8,564,354,5.562365,1329.7324,811.4509,2,1,339.57043,417.3387,20808.383,649.64276,255,1602077944,679102847,255,0.195397,0.134877,0.06052,56,44,0,0,1,1,0,0,0,0,Reconnaissance,1
19.349009,udp,-,INT,4,0,208,0,0.155047,64.49943,0.0,0,0,6449.67,0.0,9121.206,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,1,0,0,0,0,Fuzzers,1
1.790263,tcp,-,FIN,16,18,1540,1644,18.433044,6452.683,6939.762,4,4,119.32674,111.252686,8669.0625,185.92123,255,1981939841,988434738,255,0.011863,0.010216,0.001647,96,91,0,0,5,1,0,0,0,0,Normal,0
3e-06,unas,-,INT,2,0,200,0,333333.3,266666660.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Backdoor,1
0.179422,tcp,http,FIN,10,6,888,268,83.60178,35670.094,9987.627,2,1,18.801443,34.297802,1004.2157,60.206635,255,4164751767,3459933746,255,0.060319,0.007924,0.052395,89,45,1,0,1,1,0,0,1,0,Reconnaissance,1
0.988955,tcp,ftp-data,FIN,14,6,8928,320,19.212198,67068.77,2159.8555,4,1,76.07346,223.38075,6363.2754,386.53564,255,617037962,3576024912,255,0.099999,0.095245,0.004754,638,53,0,0,1,1,0,0,0,0,Normal,0
26.430616,tcp,-,FIN,24,24,4448,2768,1.778241,1290.3218,803.0081,7,7,1149.1437,1149.1301,155767.36,4791.9575,255,3879003094,1788283944,255,0.00079,0.000617,0.000173,185,115,0,0,1,1,0,0,0,0,Normal,0
5e-06,pnni,-,INT,2,0,200,0,200000.0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,Exploits,1
37.578835,tcp,-,FIN,22,24,1920,4312,1.197483,390.21967,879.857,6,6,1789.4513,1633.8314,207537.67,199563.4,255,3446481727,3446826646,255,0.000852,0.000682,0.00017,87,180,0,0,1,1,0,0,0,0,Normal,0
8e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Analysis,1
1.994134,tcp,-,FIN,16,18,1540,1644,16.548536,5792.991,6230.2734,4,4,132.8638,132.90286,8939.928,209.31088,255,1981940809,3140144929,255,0.000724,0.000588,0.000136,96,91,0,0,6,1,0,0,0,0,Normal,0
3e-06,wsn,-,INT,2,0,200,0,333333.3,266666660.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Backdoor,1
0.934241,tcp,-,FIN,60,14,68185,612,78.1383,574147.4,4872.4043,27,1,15.28639,66.691696,1599.5995,79.73952,255,603314501,2470224161,255,0.113437,0.067245,0.046192,1136,44,1,0,1,1,0,0,1,0,Fuzzers,1
0.675796,tcp,-,FIN,10,6,534,268,22.196049,5694.0264,2651.688,2,1,70.987,99.4808,4063.356,153.15498,255,2619611078,3580088709,255,0.270735,0.178384,0.092351,53,45,0,0,1,1,0,0,0,0,Fuzzers,1
0.003868,tcp,http,FIN,8,10,1052,824,4395.036,1904860.4,1534643.1,2,2,0.502571,0.371333,32.195015,0.65897,255,907099697,908010958,255,0.000649,0.000522,0.000127,132,82,1,83,2,1,0,0,1,0,Normal,0
9e-06,sm,-,INT,2,0,200,0,111111.11,88888890.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,Exploits,1
3e-06,unas,-,INT,2,0,200,0,333333.3,266666660.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,Analysis,1
1.39924,tcp,-,FIN,12,8,1012,726,13.5788,5305.7373,3636.2595,3,2,127.203636,185.48286,6675.4277,281.33777,255,272828409,2371921092,255,0.195779,0.10008,0.095699,84,91,0,0,2,1,0,0,0,0,Fuzzers,1
0.457149,udp,-,CON,4,4,528,304,15.312294,6929.9067,3989.9463,0,0,106.66434,109.68533,150.83978,155.11,0,0,0,0,0.0,0.0,0.0,132,76,0,0,1,1,0,0,0,0,Normal,0
30.61296,tcp,-,FIN,78,80,4550,72810,5.128547,1173.8818,18789.428,7,33,402.79755,392.4657,79156.805,78322.805,255,841933471,2987661359,255,0.000753,0.000624,0.000129,58,910,0,0,1,1,0,0,0,0,Normal,0
0.910099,tcp,-,FIN,34,10,35002,440,47.247604,298631.25,3480.94,26,0,936.8267,3182.5854,167828.33,9270.878,255,4249791950,3433063302,255,0.144251,0.06893,0.075321,1029,44,0,0,3,3,0,0,0,0,Fuzzers,1
0.712001,tcp,-,FIN,12,10,1036,812,29.49434,10674.142,8213.472,3,2,63.848637,74.27966,4789.564,120.4822,255,2269219754,2501722642,255,0.108496,0.043483,0.065013,86,81,0,0,1,1,0,0,0,0,Fuzzers,1
3e-06,udp,-,INT,2,0,104,0,333333.3,138666660.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,3,1,0,0,0,0,Fuzzers,1
3e-06,udp,-,INT,2,0,104,0,333333.3,138666660.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,3,1,0,0,0,0,Fuzzers,1
1.1e-05,udp,-,INT,2,0,104,0,90909.09,37818180.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,2,1,0,0,0,0,Fuzzers,1
0.034333,tcp,-,FIN,16,18,1540,1644,961.1743,336469.28,361867.56,4,4,2.428143,1.986412,147.34502,3.642658,255,229434587,1042638590,255,0.000669,0.000559,0.00011,96,91,0,0,11,1,0,0,0,0,Normal,0
3e-06,udp,-,INT,2,0,104,0,333333.3,138666660.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,1,0,0,0,0,Fuzzers,1
0.001062,udp,dns,CON,2,2,130,162,2824.8586,489642.16,610169.44,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,1,1,0,0,0,0,Normal,0
11.30189,tcp,http,FIN,8,10,1052,824,1.504173,651.92633,525.22186,2,2,1614.4092,1255.7051,130232.58,3466.2083,255,819487161,2965941459,255,0.000681,0.000539,0.000142,132,82,1,83,3,1,0,0,1,0,Normal,0
2.240076,tcp,-,FIN,16,18,1540,1644,14.731643,5156.968,5546.24,4,4,159.98306,130.854,9650.622,264.48016,255,3509080049,1227853431,255,0.015706,0.015555,0.000151,96,91,0,0,5,1,0,0,0,0,Normal,0
1.297935,tcp,-,FIN,10,8,1014,354,13.097728,5627.4004,1910.7274,2,1,141.49445,174.78,10179.759,245.62386,255,3716348174,1621372014,255,0.195171,0.074469,0.120702,101,44,0,0,1,1,0,0,0,0,Fuzzers,1
1.420968,tcp,-,FIN,16,18,1540,1644,23.223604,8129.669,8743.335,4,4,94.05279,79.52776,6177.5273,135.83167,255,2652361354,1076049594,255,0.136776,0.068995,0.067781,96,91,0,0,1,1,0,0,0,0,Normal,0
1.1e-05,udp,-,INT,2,0,724,0,90909.09,263272720.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,362,0,0,0,7,1,0,0,0,0,Normal,0
1.040622,tcp,-,FIN,14,8,1084,724,20.180239,7741.524,4874.0083,3,2,80.047844,144.04514,4526.811,218.1501,255,1328247256,4184436207,255,0.105357,0.031565,0.073792,77,91,0,0,1,1,0,0,0,0,Fuzzers,1
8.770799,tcp,-,FIN,24,24,2024,4312,5.358691,1769.5082,3769.7822,6,6,381.32214,381.31613,25012.584,25007.902,255,3254934201,3255206707,255,0.000648,0.00052,0.000128,84,180,0,0,3,1,0,0,0,0,Normal,0
0.019593,tcp,-,FIN,16,18,1540,1644,1684.2749,589598.3,634104.0,4,4,1.285933,1.195375,78.42675,2.197267,255,3339973883,3349410652,255,0.000586,0.000463,0.000123,96,91,0,0,6,1,0,0,0,0,Normal,0
0.635743,tcp,-,FIN,10,8,588,354,26.740364,6669.3613,3900.9473,2,1,68.16322,81.09729,4784.607,121.74029,255,2046133946,2886406162,255,0.10862,0.068053,0.040567,59,44,0,0,2,1,0,0,0,0,Fuzzers,1
9e-06,udp,-,INT,2,0,250,0,111111.11,111111100.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,125,0,0,0,8,1,0,0,0,0,Normal,0
6e-06,unas,-,INT,2,0,200,0,166666.66,133333330.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,Backdoor,1
0.177321,tcp,-,FIN,16,18,1540,1644,186.10316,65147.387,70065.02,4,4,11.7984,10.401059,706.4041,20.474606,255,1289552921,1305414230,255,0.000617,0.000502,0.000115,96,91,0,0,3,1,0,0,0,0,Normal,0
3e-06,unas,-,INT,2,0,200,0,333333.3,266666660.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,Backdoor,1
0.348008,tcp,http,FIN,10,8,858,1348,48.84945,17769.707,27125.812,2,2,38.667557,44.148285,2028.1108,64.37841,255,1463769217,1585782601,255,0.076887,0.038248,0.038639,86,169,1,275,1,1,0,0,1,0,Exploits,1
8e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Backdoor,1
0.00111,udp,dns,CON,2,2,132,164,2702.703,475675.7,590991.0,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,1,1,0,0,0,0,Normal,0
0.223365,tcp,ftp-data,FIN,14,6,8928,320,85.06257,296948.94,9562.823,4,1,17.181923,44.553,1568.0177,66.76198,255,427104476,2877802928,255,0.000601,0.000463,0.000138,638,53,0,0,1,1,0,0,0,0,Normal,0
1.474306,tcp,-,FIN,10,8,564,354,11.530849,2756.5513,1682.1475,2,1,163.81178,204.93729,13649.542,362.1639,255,863087680,984044800,255,0.079521,0.03909,0.040431,56,44,0,0,1,1,0,0,0,0,Normal,0
12.807509,tcp,http,FIN,14,18,1684,10168,2.420455,976.9269,5998.9805,3,5,985.1663,753.3492,62473.73,53768.87,255,2462429134,318099173,255,0.000713,0.00057,0.000143,120,565,1,3924,2,1,0,0,1,0,Normal,0
2.744258,tcp,-,FIN,30,42,2302,34406,25.872204,6489.186,97912.08,5,15,97.99708,65.49242,6448.192,5435.197,255,506972290,983041424,255,0.05988,0.059067,0.000813,77,819,0,0,6,1,0,0,0,0,Normal,0
0.000938,udp,dns,CON,2,2,132,164,3198.2942,562899.8,699360.4,0,0,0.0,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,1,1,0,0,0,0,Normal,0
1.576239,tcp,-,FIN,40,42,2558,23162,51.388145,12663.055,114759.25,7,14,41.470844,39.392525,2611.231,2554.184,255,781946543,2901840901,255,0.000676,0.000535,0.000141,64,551,0,0,1,1,0,0,0,0,Normal,0
1e-05,pim,-,INT,2,0,200,0,100000.0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Exploits,1
8e-06,udp,-,INT,2,0,104,0,125000.0,52000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,2,1,0,0,0,0,Fuzzers,1
4.717783,tcp,http,FIN,8,10,1052,824,3.603387,1561.7505,1258.2181,2,2,673.8102,589.65063,50759.656,1491.4642,255,544518167,2695224337,255,0.000699,0.000574,0.000125,132,82,1,83,5,1,0,0,1,0,Normal,0
9e-06,udp,-,INT,2,0,352,0,111111.11,156444430.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,176,0,0,0,5,1,0,0,0,0,Normal,0
10.958923,tcp,-,FIN,22,26,1920,4416,4.288742,1338.0876,3100.3044,6,6,521.8332,438.33267,36253.613,33223.023,255,4094934119,4095230240,255,0.000741,0.000596,0.000145,87,170,0,0,1,1,0,0,0,0,Normal,0
